authors,title,publication_year,doi,url
Philipp CimianoChristina Unger,Multilingualität und Linked Data,2014,https://doi.org/10.1007/978-3-642-30274-9_7,http://link.springer.com/chapter/10.1007/978-3-642-30274-9_7
Harald SackJörg Waitelonis,Linked Data als Grundlage der semantischen Videosuche mit yovisto,2014,https://doi.org/10.1007/978-3-642-30274-9_13,http://link.springer.com/chapter/10.1007/978-3-642-30274-9_13
Dipl.-Ing. Börteçin Ege,Marktstudie: Welche Standards und Tools werden in Unternehmen eingesetzt?,2015,https://doi.org/10.1007/978-3-642-54886-4_3,http://link.springer.com/chapter/10.1007/978-3-642-54886-4_3
Christian DirschlKatja Eck,Linked Data als integraler Bestandteil der Kernprozesse bei Wolters Kluwer Deutschland GmbH,2014,https://doi.org/10.1007/978-3-642-30274-9_14,http://link.springer.com/chapter/10.1007/978-3-642-30274-9_14
Thomas Hoppe,Einführung,2020,https://doi.org/10.1007/978-3-658-30427-0_1,http://link.springer.com/chapter/10.1007/978-3-658-30427-0_1
Andreas KohnePhilipp KleinmannsChristian RolfMoritz Beck,Technik,2020,https://doi.org/10.1007/978-3-658-28849-5_4,http://link.springer.com/chapter/10.1007/978-3-658-28849-5_4
Tim vor der Brück,Stand der Forschung: automatische Lernverfahren für die Wissensakquisition,2013,https://doi.org/10.1007/978-3-8348-2503-2_4,http://link.springer.com/chapter/10.1007/978-3-8348-2503-2_4
Joachim BöhringerPeter BühlerPatrick Schlaich,Webtechnologien,2011,https://doi.org/10.1007/978-3-642-20582-8_10,http://link.springer.com/chapter/10.1007/978-3-642-20582-8_10
Joachim Böhringer Dipl.-Wirt.-Ing.Peter Bühler Dipl.-Ing.Patrick Schlaich ProfessorDominik Sinner Dipl.-Wirt.-Ing. (FH),Webseiten,2014,https://doi.org/10.1007/978-3-642-54583-2_2,http://link.springer.com/chapter/10.1007/978-3-642-54583-2_2
Peter HaberThomas LampoltshammerDr. Manfred Mayr,Data Science – Analytics and Applications,2019,https://doi.org/10.1007/978-3-658-27495-5,http://link.springer.com/book/10.1007/978-3-658-27495-5
