authors	title	publication_year	doi	url	IS_ACCEPTED
Mihai Surdeanu and Massimiliano Ciaramita and Hugo Zaragoza	Learning to Rank Answers to Non-Factoid Questions from Web Collections	2011	https://doi.org/10.1162/COLI\_a\_00051	https://doi.org/10.1162/COLI\_a\_00051	FALSE
{\'{O}}scar Ferr{\'{a}}ndez and Christian Spurk and Milen Kouylekov and Iustin Dornescu and Sergio Ferr{\'{a}}ndez and Matteo Negri and Rub{\'{e}}n Izquierdo and David Tom{\'{a}}s and Constantin Orasan and Guenter Neumann and Bernardo Magnini and Jos{\'{e}} Luis Vicedo Gonz{\'{a}}lez	The {QALL-ME} Framework: {A} specifiable-domain multilingual Question Answering architecture	2011	https://doi.org/10.1016/j.websem.2011.01.002	https://doi.org/10.1016/j.websem.2011.01.002	TRUE
Ricardo Usbeck, Axel-Cyrille Ngonga Ngomo, Felix Conrads, Michael Röder, Giulio Napolitano:	8th Challenge on Question Answering over Linked Data (QALD-8) (invited paper)	2018	https://ceur-ws.org/Vol-2241/paper-05.pdf	https://ceur-ws.org/Vol-2241/paper-05.pdf	TRUE
Usbeck, Ricardo and Gusmita, Ria Hari and Ngomo, Axel{-}Cyrille Ngonga and Saleem, Muhammad	9th Challenge on Question Answering over Linked Data {(QALD-9)} (invited                paper)}	2018	https://svn.aksw.org/papers/2018/QALD9/public.pdf	https://svn.aksw.org/papers/2018/QALD9/public.pdf	TRUE
Manuela Sanguinetti, Maurizio Atzori, and Nicoletta Puddu	𝑟 𝑒𝑤𝑜𝑟𝑑𝑄𝐴𝐿𝐷9: A Bilingual Benchmark with Alternative Rewordings of QALD Questions	2022	https://ceur-ws.org/Vol-3235/paper7.pdf	https://ceur-ws.org/Vol-3235/paper7.pdf	TRUE
Yiming Tan, Yongrui Chen, Guilin Qi, Weizhuo Li, Meng Wang	MLPQ: A Dataset for Path Question Answering over Multilingual Knowledge Graphs	2023	https://doi.org/10.1016/j.bdr.2023.100381	https://doi.org/10.1016/j.bdr.2023.100381	TRUE
Arnaldo Pereira, Alina Trifan, Rui Pedro Lopes, José Luís Oliveira	Systematic review of question answering over knowledge bases	2022	https://doi.org/10.1049/sfw2.12028	https://doi.org/10.1049/sfw2.12028	TRUE
Chen Zhanga, Yuxuan Laic, Yansong Feng, Dongyan Zhao	A review of deep learning in question answering over knowledge bases	2021	https://doi.org/10.1016/j.aiopen.2021.12.001	https://doi.org/10.1016/j.aiopen.2021.12.001	TRUE
Christina Antoniou and Nick Bassiliades 	A survey on semantic question answering systems	2022	https://doi.org/10.1017/S0269888921000138	https://doi.org/10.1017/S0269888921000138	TRUE
					FALSE
Mar{\'{\i}}a{-}Dolores Olvera{-}Lobo and Juncal Guti{\'{e}}rrez{-}Artacho	Multilingual Question-Answering System in Biomedical Domain on the Web: An Evaluation	2011	https://doi.org/10.1007/978-3-642-23708-9\_10	https://doi.org/10.1007/978-3-642-23708-9\_10	FALSE
Guangda Li and Haojie Li and Zhaoyan Ming and Richang Hong and Sheng Tang and Tat{-}Seng Chua	Question Answering over Community-Contributed Web Videos	2010	https://doi.org/10.1109/MMUL.2010.47	https://doi.org/10.1109/MMUL.2010.47	FALSE
Matthew W. Bilotti	Linguistic and semantic passage retrieval strategies for question answering	2010	https://doi.org/10.1145/1924475.1924495	https://doi.org/10.1145/1924475.1924495	FALSE
Matthew W. Bilotti and Jonathan L. Elsas and Jaime G. Carbonell and Eric Nyberg	Rank learning for factoid question answering with linguistic and semantic constraints	2010	https://doi.org/10.1145/1871437.1871498	https://doi.org/10.1145/1871437.1871498	FALSE
Andrea Andrenucci	Creating a Bilingual Psychology Lexicon for Cross Lingual Question Answering - {A} Follow up Study	2010			FALSE
Tat{-}Seng Chua and Richang Hong and Guangda Li and Jinhui Tang	From text question-answering to multimedia {QA} on web-scale media resources	2009	https://doi.org/10.1145/1631058.1631069	https://doi.org/10.1145/1631058.1631069	FALSE
Elena Cabrio and Milen Kouylekov and Bernardo Magnini and Matteo Negri and Laura Hasler and Constantin Orasan and David Tom{\'{a}}s and Jos{\'{e}} Luis Vicedo Gonz{\'{a}}lez and Guenter Neumann and Corinna Weber	The {QALL-ME} Benchmark: a Multilingual Resource of Annotated Spoken Requests for Question Answering	2008		http://www.lrec-conf.org/proceedings/lrec2008/summaries/628.html	FALSE
Rahmad Mahendra and Septina Dian Larasati and Ruli Manurung	Extending an Indonesian Semantic Analysis-based Question Answering System with Linguistic and World Knowledge Axioms	2008		https://aclanthology.org/Y08-1026/	FALSE
Tatsunori Mori and Kousuke Takahashi	A Method of Cross-Lingual Question-Answering Based on Machine Translation and Noun Phrase Translation using Web documents - Yokohama National University at {NTCIR-6} {CLQA}	2007		http://research.nii.ac.jp/ntcir/workshop/OnlineProceedings6/NTCIR/34.pdf	FALSE
Rita M. Aceves{-}P{\'{e}}rez and Manuel Montes{-}y{-}G{\'{o}}mez and Luis Villase{\~{n}}or Pineda	Graph-Based Answer Fusion in Multilingual Question Answering	2007	https://doi.org/10.1007/978-3-540-74628-7\_80	https://doi.org/10.1007/978-3-540-74628-7\_80	FALSE
Rawia Awadallah and Andreas Rauber	Web-Based Multiple Choice Question Answering for English and Arabic Questions	2006	https://doi.org/10.1007/11735106\_54	https://doi.org/10.1007/11735106\_54	FALSE
Borja Navarro and Lorenza Moreno and Sonia V{\'{a}}zquez and Fernando Llopis and Andr{\'{e}}s Montoyo and Miguel Angel Var{\'{o}}	Improving Interaction with the User in Cross-Language Question Answering through Relevant Domains and Syntactic Semantic Patterns	2004		http://ceur-ws.org/Vol-1170/CLEF2004wn-iCLEF-NavarroEt2004.pdf	FALSE
Borja Navarro and Lorenza Moreno and Sonia V{\'{a}}zquez and Fernando Llopis and Andr{\'{e}}s Montoyo and Miguel Angel Var{\'{o}}	Improving Interaction with the User in Cross-Language Question Answering Through Relevant Domains and Syntactic Semantic Patterns	2004	https://doi.org/10.1007/11519645\_34	https://doi.org/10.1007/11519645\_34	FALSE
Hristo Tanev and Milen Kouylekov and Bernardo Magnini	Combining Linguistic Processing and Web Mining for Question Answering: ITC-irst at {TREC} 2004	2004		http://trec.nist.gov/pubs/trec13/papers/itc-irst-tanev.web.qa.pdf	FALSE
Jochen L. Leidner and Tiphaine Dalmas and Bonnie L. Webber and Johan Bos and Claire Grover	Automatic Multi-Layer Corpus Annotation for Evaluation Question Answering Methods: CBC4Kids	2003		https://aclanthology.org/W03-2406/	FALSE
Charles L. A. Clarke and Gordon V. Cormack and Thomas R. Lynam and C. M. Li and G. L. McLearn	Web Reinforced Question Answering (MultiTest Experiments for {TREC} 2001)	2001		http://trec.nist.gov/pubs/trec10/papers/mtA.pdf	FALSE
Kui{-}Lam Kwok and Laszlo Grunfeld and Norbert Dinstl and M. Chan	{TREC2001} Question-Answer, Web and Cross Language Experiments using {PIRCS}	2001		http://trec.nist.gov/pubs/trec10/papers/queenst2001.pdf	FALSE
Kui{-}Lam Kwok and Laszlo Grunfeld and Norbert Dinstl and M. Chan	{TREC-9} Cross Language, Web and Question-Answering Track Experiments using {PIRCS}	2000		http://trec.nist.gov/pubs/trec9/papers/pircst9.pdf	FALSE
Michael G. Main and David B. Benson	Denotational Semantics for "Natural" Language Question-Answering Programs	1983			
